fips,intertie_id
0200065,186-0000
0200650,001-0000
0200760,002-0000
0200870,003-0000
0201090,004-0000
0201200,045-2016
0201305,005-0000
0201390,
0201420,169-0000
0201560,
0201860,005-0000
0201970,035-0000
0202080,160-0000
0203110,215-1985
0203000,215-1985
0203220,215-1985
0203440,125-0000
0203550,093-0000
0203880,036-0000
0203990,094-0000
0204210,095-0000
0204430,096-0000
0204500,161-0000
0204670,
0205000,215-1985
0205585,215-1985
0205750,097-0000
0206245,215-1985
0206520,034-1988
0206630,007-0000
0206850,215-1985
0207070,215-1985
0207620,098-0000
0208740,039-0000
0209600,099-0000
0209657,215-1985
0209710,215-1985
0210150,215-1985
0211690,116-0000
0211800,100-0000
0212350,215-1985
0212680,154-0000
0212920,215-1985
0212970,101-0000
0213230,040-0000
0213340,
0213450,
0213550,104-0000
0213670,102-0000
0213780,103-0000
0213860,223-0000
0213890,
0214000,026-2010
0214110,105-0000
0214330,144-0000
0214880,106-0000
0215320,215-1985
0215430,107-0000
0216360,023-2015
0216420,215-1985
0216530,114-0000
0216630,
0216750,215-1985
0217190,215-1985
0217300,216-0000
0217410,014-1990
0217670,032-1998
0217740,023-2015
0217850,145-0000
0217960,215-1985
0218510,130-0000
0218620,215-1985
0218675,215-1985
0218805,215-1985
0218925,215-1985
0218950,169-0000
0219060,110-0000
0219720,015-2008
0219750,015-2008
0220020,
0220380,009-0000
0220600,009-0000
0220716,
0220970,
0221040,041-0000
0221150,111-0000
0221370,215-1985
0221810,065-2016
0222140,112-0000
0222250,043-0000
0222910,045-2016
0223460,215-1985
0223720,
0223790,007-0000
0223900,
0224230,215-1985
0224660,113-0000
0225000,215-1985
0224980,215-1985
0225220,215-1985
0225550,215-1985
0225880,
0226100,215-1985
0226760,119-0000
0226835,215-1985
0226870,215-1985
0226910,215-1985
0227090,215-1985
0227145,215-1985
0227420,
0227530,115-0000
0227640,046-0000
0227700,
0228200,215-1985
0228590,
0228740,216-0000
0229130,215-1985
0229180,117-0000
0229290,047-0000
0230060,048-0000
0230500,216-0000
0230940,118-0000
0231050,032-1998
0231270,215-1985
0231710,215-1985
0231765,215-1985
0232150,215-1985
0232310,011-0000
0232550,
0232810,023-2015
0233030,049-0000
0233140,215-1985
0233360,128-0000
0233470,050-0000
0233580,215-1985
0233800,215-1985
0233910,120-0000
0234350,051-0000
0234460,023-2015
0234570,
0234790,121-0000
0235120,123-1983
0235890,
0236400,222-0000
0236540,215-1985
0236770,129-0000
0236990,162-0000
0237250,215-1985
0237430,054-0000
0237540,092-0000
0237650,023-2015
0237975,055-2006
0238090,215-1985
0238420,215-1985
0238910,216-0000
0238970,217-2009
0239300,057-0000
0239410,131-0000
0239630,150-0000
0239740,132-0000
0239960,058-0000
0240400,023-2015
0240510,032-1998
0240670,215-1985
0240645,215-1985
0240840,149-1980
0240950,223-0000
0241210,223-0000
0241280,134-0000
0241500,157-0000
0241610,176-0000
0241720,059-0000
0241830,135-0000
0241940,060-0000
0242050,136-0000
0242160,217-2009
0242380,137-0000
0242490,138-0000
0242805,
0242820,
0243040,139-0000
0243260,215-1985
0243810,140-0000
0244030,141-0000
0244580,
0245020,
0245295,215-1985
0245460,052-2005
0245700,032-1998
0246780,188-0000
0246890,142-0000
0247000,061-0000
0245790,
0246010,143-0000
0247735,215-1985
0247990,062-0000
0248200,
0248540,026-2012
0248590,196-0000
0248870,225_0000
0249200,223-0000
0249530,063-0000
0250080,215-1985
0250190,215-1985
0250800,032-1998
0251180,075-2020
0251455,032-1998
0251960,
0252060,150-0000
0252210,
0252390,034-1988
0252720,153-0000
0252845,023-2015
0252915,
0252940,156-0000
0253050,215-1985
0253710,065-2016
0253270,123-1983
0253820,196-0000
0253930,088-2008
0254050,215-1985
0254085,215-1985
0254150,158-0000
0254260,193-0000
0254480,215-1985
0254700,066-0000
0254920,159-0000
0255030,123-1983
0255140,067-0000
0255745,215-1985
0255910,215-1985
0256220,012-0000
0256320,163-0000
0256350,068-0000
0256600,167-0000
0256680,055-2006
0257340,069-0000
0258330,034-1988
0258550,170-0000
0258660,215-1985
0259320,226_0000
0259540,171-0000
0259650,172-0000
0260200,155-0000
0260310,217-2009
0260460,
0260640,173-0000
0260750,070-0000
0260860,075-1985
0261080,174-0000
0261120,215-1985
0261190,
0261630,164-0000
0261700,165-0000
0261788,215-1985
0261825,
0262125,
0262510,
0262620,183-0000
0263170,
0263280,
0263390,175-0000
0263610,223-0000
0263870,
0262285,
0264240,215-1985
0264380,
0264600,071-0000
0264820,177-0000
0264930,146-0000
0264980,
0265345,215-1985
0265590,178-0000
0265700,072-0000
0266510,215-1985
0266550,215-1985
0267020,187-0000
0267460,076-0000
0267570,217-2009
0267680,077-0000
0268230,078-0000
0268340,215-1985
0268370,215-1985
0268560,215-1985
0268670,079-0000
0268890,080-0000
0269770,081-0000
0270100,149-1980
0270320,216-0000
0270540,219-0000
0270760,032-1998
0270870,
0270930,026-2010
0271090,147-0000
0271640,215-1985
0272135,215-1985
0272190,150-0000
0272230,215-1985
0265800,
0266140,075-1985
0266360,084-2015
0266470,180-0000
0272960,084-2015
0272985,215-1985
0273070,215-1985
0273290,181-0000
0273400,148-0000
0273950,
0274340,
0274350,215-1985
0274525,215-1985
0274610,182-0000
0274830,215-1985
0275050,015-2008
0275077,215-1985
0275160,184-0000
0275380,185-0000
0275480,216-0000
0275930,085-0000
0276260,189-0000
0276590,015-2008
0277140,023-2015
0277690,086-0000
0277800,015-2008
0278240,088-2008
0278297,
0278350,
0278680,215-1985
0278790,190-0000
0279120,191-0000
0279230,088-2008
0279780,192-0000
0279830,215-1985
0279890,215-1985
0280100,
0280660,194-0000
0280770,195-0000
0281320,052-2005
0281920,221-0000
0282200,216-0000
0282420,197-0000
0282750,166-0000
0282860,090-0000
0283080,215-1985
0284000,213-0000
0284070,198-0000
0284120,
0284200,
0284510,215-1985
0285280,215-1985
0285290,216-0000
0285610,
0285680,223-0000
0286380,217-2009
0286490,091-0000
